Major,Total,Men,Women,ShareWomen,Unemployment_rate,Median,P25th,P75th
PETROLEUM ENGINEERING,2339,2057,282,0.120564344,0.018380527,110000,95000,125000
MINING AND MINERAL ENGINEERING,756,679,77,0.101851852,0.117241379,75000,55000,90000
METALLURGICAL ENGINEERING,856,725,131,0.153037383,0.024096386,73000,50000,105000
NAVAL ARCHITECTURE AND MARINE ENGINEERING,1258,1123,135,0.107313196,0.050125313,70000,43000,80000
CHEMICAL ENGINEERING,32260,21239,11021,0.341630502,0.061097712,65000,50000,75000
NUCLEAR ENGINEERING,2573,2200,373,0.144966965,0.177226407,65000,50000,102000
ACTUARIAL SCIENCE,3777,2110,1667,0.441355573,0.095652174,62000,53000,72000
ASTRONOMY AND ASTROPHYSICS,1792,832,960,0.535714286,0.021167415,62000,31500,109000
MECHANICAL ENGINEERING,91227,80320,10907,0.119558903,0.057342278,60000,48000,70000
ELECTRICAL ENGINEERING,81527,65511,16016,0.196450256,0.059173845,60000,45000,72000
COMPUTER ENGINEERING,41542,33258,8284,0.199412643,0.065409275,60000,45000,75000
AEROSPACE ENGINEERING,15058,12953,2105,0.139792801,0.065162085,60000,42000,70000
BIOMEDICAL ENGINEERING,14955,8407,6548,0.437846874,0.09208386,60000,36000,70000
MATERIALS SCIENCE,4279,2949,1330,0.310820285,0.023042836,60000,39000,65000
ENGINEERING MECHANICS PHYSICS AND SCIENCE,4321,3526,795,0.183985189,0.006334343,58000,25000,74000
BIOLOGICAL ENGINEERING,8925,6062,2863,0.320784314,0.087143069,57100,40000,76000
INDUSTRIAL AND MANUFACTURING ENGINEERING,18968,12453,6515,0.343473218,0.042875544,57000,37900,67000
GENERAL ENGINEERING,61152,45683,15469,0.252959838,0.059824231,56000,36000,69000
ARCHITECTURAL ENGINEERING,2825,1835,990,0.350442478,0.061930783,54000,38000,65000
COURT REPORTING,1148,877,271,0.236062718,0.011689692,54000,50000,54000
COMPUTER SCIENCE,128319,99743,28576,0.222695002,0.063172771,53000,39000,70000
ELECTRICAL ENGINEERING TECHNOLOGY,11565,8181,3384,0.292607004,0.087557114,52000,35000,60000
MATERIALS ENGINEERING AND MATERIALS SCIENCE,2993,2020,973,0.325091881,0.027788805,52000,35000,62000
MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,18713,13496,5217,0.278790146,0.058239614,51000,38000,60000
CIVIL ENGINEERING,53153,41081,12072,0.227117943,0.070609574,50000,40000,60000
CONSTRUCTION SERVICES,18498,16820,1678,0.090712509,0.060023041,50000,36000,60000
OPERATIONS LOGISTICS AND E-COMMERCE,11732,7921,3811,0.32483805,0.047858703,50000,40000,60000
MISCELLANEOUS ENGINEERING,9133,7398,1735,0.189970437,0.074392523,50000,39000,65000
PUBLIC POLICY,5978,2639,3339,0.558548009,0.128426299,50000,35000,70000
ENVIRONMENTAL ENGINEERING,4047,2662,1385,0.342228811,0.093588575,50000,42000,56000
ENGINEERING TECHNOLOGIES,3600,2695,905,0.251388889,0.055030385,50000,43000,60000
